NIT Proveedor,Proveedor, Fecha,Hora Pico,Trafco_Internacional,Trafico_Datos_NAPs,Trafico_Datos_Peering_Directo,Trafico_Datos_Local,Trafico_Datos_Total_Dia
800132211,HVTV,4/19/2020,18:00,0,0,24340,20909,661737
800132211,HVTV,4/20/2020,18:00,0,0,23778,20057,629262
800132211,HVTV,4/21/2020,18:00,0,0,24664,20147,641844
800132211,HVTV,4/22/2020,18:00,0,0,24034,19908,626767
800132211,HVTV,4/23/2020,18:00,0,0,25177,20345,633020
800132211,HVTV,4/24/2020,18:00,0,0,24934,20772,661770
800132211,HVTV,4/25/2020,18:00,0,0,24664,21886,679989
800132211,HVTV,4/26/2020,18:00,0,0,24475,21470,681210
800132211,HVTV,4/27/2020,18:00,0,0,24493,20121,626907
800132211,HVTV,4/28/2020,18:00,0,0,24457,20659,635504
800132211,HVTV,4/29/2020,18:00,0,0,23733,20333,613872
800132211,HVTV,4/30/2020,18:00,0,0,24840,20831,645505
800132211,HVTV,5/1/2020,18:00,0,0,25249,20656,673866
800132211,HVTV,5/2/2020,18:00,0,0,24151,20567,637362
800132211,HVTV,5/3/2020,18:00,0,0,24547,19958,641757
800132211,HVTV,5/4/2020,18:00,0,0,24088,18267,594291
800132211,HVTV,5/5/2020,18:00,0,0,23683,19334,614574
800132211,HVTV,5/6/2020,18:00,0,0,24444,19635,633463
800132211,HVTV,5/7/2020,18:00,0,0,23616,19620,619077
800132211,HVTV,5/8/2020,18:00,0,0,24147,18889,624294
800132211,HVTV,5/9/2020,18:00,0,0,23152,20565,645807
800132211,HVTV,5/10/2020,18:00,0,0,23796,20365,644176
800132211,HVTV,5/11/2020,18:00,0,0,24912,20116,591397
800132211,HVTV,5/12/2020,18:00,0,0,24934,20057,629305
800132211,HVTV,5/13/2020,18:00,0,0,24624,20061,630579
800132211,HVTV,5/14/2020,18:00,0,0,24799,19952,636638
800132211,HVTV,5/15/2020,18:00,0,0,25281,21027,646380
800132211,HVTV,5/16/2020,18:00,0,0,25573,20850,676080
800132211,HVTV,5/17/2020,18:00,0,0,26298,20979,692312
800132211,HVTV,5/18/2020,18:00,0,0,26694,18824,636336
800132211,HVTV,5/19/2020,18:00,0,0,26527,20695,669103
800132211,HVTV,5/20/2020,18:00,0,0,25492,20248,658141
800132211,HVTV,5/21/2020,18:00,0,0,25411,20264,653950
800132211,HVTV,5/22/2020,18:00,0,0,25722,20801,651758
800132211,HVTV,5/23/2020,18:00,0,0,26100,21301,660733
800132211,HVTV,5/24/2020,18:00,0,0,26496,22146,656910
800132211,HVTV,5/25/2020,18:00,0,0,26347,21250,638485
800132211,HVTV,5/26/2020,18:00,0,0,26208,20643,645429
800132211,HVTV,5/27/2020,18:00,0,0,25101,20133,633214
800132211,HVTV,5/28/2020,18:00,0,0,26329,20666,657493
800132211,HVTV,5/29/2020,18:00,0,0,25704,20762,660258
830016046,AVANTEL,5/15/2020,22:00,0.0199,78207998,43301602,0,"201504,39"
830016046,AVANTEL,5/16/2020,22:00,0.0199,80573599,42682202,0,"201006,52"
830016046,AVANTEL,5/17/2020,22:00,0.0299,78536201,43390098,0,"203215,05"
830016046,AVANTEL,5/18/2020,22:00,0.0199,68638799,4170.46,0,"189368,59"
830016046,AVANTEL,5/19/2020,22:00,0.0299,76863901,4285.75,0,"195119,3"
830016046,AVANTEL,5/20/2020,22:00,0.0399,75658301,4247.48,0,"196127,27"
830016046,AVANTEL,5/21/2020,22:00,0.0799,71356699,41486499,0,"174669,67"
830016046,AVANTEL,5/22/2020,22:00,0.0299,73654399,4082.05,0,"159070,66"
830016046,AVANTEL,5/23/2020,22:00,0.07,77585698,41268999,0,"194174,52"
830016046,AVANTEL,5/24/2020,22:00,0.1199,79038701,42326699,0,"197568,45"
830016046,AVANTEL,5/25/2020,22:00,0.0599,74252002,44114399,0,"196650,91"
830016046,AVANTEL,5/26/2020,22:00,0.0199,73305098,43551802,0,"194581,23"
830016046,AVANTEL,5/27/2020,22:00,0.0099,73971299,43149902,0,"196424,31"
830016046,AVANTEL,5/28/2020,22:00,0.0199,72811699,43687002,0,"196854,7"
830016046,AVANTEL,5/29/2020,22:00,0.0199,72213999,44515498,0,"196268,38"
830016046,AVANTEL,5/30/2020,22:00,0.07,7802.46,42046602,0,"197574,69"
830016046,AVANTEL,5/31/2020,22:00,0.0199,77548198,4206,0,"199010,02"
830016046,AVANTEL,6/1/2020,22:00,0.0099,72183398,42844399,0,"189041,66"
830016046,AVANTEL,6/2/2020,22:00,0.0199,73381201,41553198,0,"187716,16"
